Category,Value
Purchase Price (EV),100000000
Debt Financing %,60%
Equity Financing %,40%
Interest Rate on Debt (Years 1-3),8%
Interest Rate on Debt (Years 4-5),9%
Revenue (Year 1),50000000
Revenue Growth Rate,5%
EBITDA Margin,25%
Depreciation % of Revenue,3%
CapEx % of Revenue,4%
Change in NWC % of Revenue,2%
Tax Rate,25%
Exit Multiple (EV/EBITDA),7
Add-on Acquisition (Year 3 cash outflow),10000000
"Dividend Payout (Years 3-5,  % of residual FCF)",50%
Debt Amortization % (of beginning balance),10%
